이닝,공격팀구분,타자명,투수명,투구ID,상대타석내구수,구종(stuff),구속(speed),좌우위치(crossPlateX),상하위치(crossPlateY),S존상단(topSz),S존하단(bottomSz),타자타석방향(stance),초속X(vx0),초속Y(vy0),초속Z(vz0),가속도X(ax),가속도Y(ay),가속도Z(az),텍스트로그
7,Home,박민,조동욱,260506_203912,1,체인지업,132.0,-0.33697,0.7083,3.382,1.64,R,-9.13282,-118.183,-3.4507,12.3939,25.1552,-28.5227,박민 : 우익수 플라이 아웃
7,Home,박재현,조동욱,260506_204043,1,슬라이더,126.0,0.698463,0.7083,3.329,1.615,L,-4.33114,-113.976,1.63247,-0.886773,27.6375,-24.7273,박재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃)
7,Home,한준수,조동욱,260506_203754,2,직구,147.0,0.049345,0.7083,3.391,1.645,L,-10.3624,-131.73,-9.57534,21.1673,28.5779,-12.4431,한준수 : 볼넷
7,Home,박민,조동욱,260506_204003,2,직구,146.0,0.127227,0.7083,3.382,1.64,R,-9.65716,-131.375,-3.79306,17.4627,32.1866,-23.9601,박민 : 우익수 플라이 아웃
7,Home,박재현,조동욱,260506_204114,2,슬라이더,128.0,-0.535345,0.7083,3.329,1.615,L,-7.36591,-114.828,0.217536,0.609857,22.1263,-26.7241,박재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃)
7,Home,한준수,조동욱,260506_203815,3,직구,147.0,0.235648,0.7083,3.391,1.645,L,-8.97402,-131.738,-6.70969,15.6337,30.2503,-20.4666,한준수 : 볼넷
7,Home,한준수,조동욱,260506_203836,4,직구,146.0,-0.795094,0.7083,3.391,1.645,L,-10.9035,-130.844,-6.95747,13.5904,28.9586,-17.1181,한준수 : 볼넷
8,Away,김태연,장재혁,260506_204336,1,직구,146.0,-1.16565,0.7083,3.232,1.568,R,2.27216,-130.671,-6.73211,-9.39086,28.0085,-18.298,김태연 : 볼넷
8,Away,이원석,장재혁,260506_204520,1,직구,144.0,0.549594,0.7083,3.278,1.59,R,5.27701,-128.452,-4.41029,-5.80553,23.9722,-22.2011,이원석 : 3루수 희생번트 아웃 (3루수->2루수 1루 터치아웃)
8,Away,최재훈,장재혁,260506_204608,1,직구,145.0,0.350824,0.7083,3.261,1.582,R,5.11458,-130.448,-3.30327,-7.85421,28.6684,-23.7493,최재훈 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃)
8,Away,N/A,장재혁,260506_204701,1,슬라이더,132.0,0.433615,0.7083,3.36,1.63,R,4.04021,-118.447,0.4447,-3.44357,23.4871,-42.7027,
